pred_date,basis_date,pred_close
2026-01-29,2026-01-28,5275.07187678221
2026-01-30,2026-01-29,5291.787618371554
2026-02-02,2026-01-30,4690.312423944017
2026-02-03,2026-02-02,4599.369869712644
2026-02-04,2026-02-03,4879.162991546635
2026-02-05,2026-02-04,4895.7791363497845
2026-03-11,2026-03-10,5203.036972549033
2026-03-12,2026-03-11,5141.054312815003
2026-03-13,2026-03-12,5089.717294273624
2026-03-16,2026-03-13,5026.74021875419
2026-03-17,2026-03-16,4968.491565961106
2026-03-18,2026-03-17,5031.928084796672
2026-03-19,2026-03-18,4864.923192468754
2026-03-20,2026-03-19,4577.2006643824125
2026-03-23,2026-03-20,4547.055139740565
